id,name,category,type,factor
1,私は相手の変化や成果に気付いてそれを伝えている,A.日常の会話,個別対応,4.965023847
2,私は相手の考え方や価値観を理解している,A.日常の会話,個別対応,4.83227345
3,私の話し方、ほめ方などは、相手の性格や特徴に合ったものである,A.日常の会話,個別対応,4.5
4,私は相手の強みや得意分野を引き出し、伸ばしている,A.日常の会話,個別対応,4.382352941
5,私は相手との話をあいまいに終わらせず、結論を出している,B.対話力,前進,4.741653418
6,私は話題が発散しすぎず、目的を持って相手との会話を進めている,B.対話力,前進,4.628775835
7,私は相手の話を途中でさえぎったり、否定することなく最後まで聞いている,B.対話力,傾聴,4.410174881
8,私は結論を急がせたり先取りすることなく、落ち着いて相手に話をさせている,B.対話力,傾聴,4.259936407
9,私は相手にとって話しやすい・相談しやすい雰囲気である,A.日常の会話,個別対応,4.513513514
10,私は相手に対してうなずき、あいづち、あいのてなど、反応をまじえながら応じている,A.日常の会話,個別対応,5.284578696
11,私は相手と定期的に話す場を設けている,A.日常の会話,継続,4.351351351
12,私は相手の目標の進捗についてその人と話をしている,A.日常の会話,継続,4.43799682
13,私は相手からのメールや電話の連絡にタイムリーに返答している,B.対話力,前進,5.138314785
14,私は相手にねぎらいの気持ちを伝えている,A.日常の会話,個別対応,5.087440382
15,私は自分の考えを伝える前に、まず相手の考えを尋ねている,B.対話力,質問,4.222575517
16,私は相手に気付かせたり、自発的に考えさせたりする質問をしている,B.対話力,質問,4.13354531
17,私から相手への提案や要望、主張の内容は、明確でわかりやすい,B.対話力,前進,4.477742448
18,私は相手をやる気にさせる提案や要望をしている,A.日常の会話,個別対応,4.331478537
19,私は自分の行動についてのフィードバックを自ら求めている,A.日常の会話,継続,3.840222576
20,私は相手が目標に対して順調に進んでいるか、フィードバックをしている,A.日常の会話,継続,4.240858506
21,私の関わりが相手の目標達成を促進している,A.日常の会話,目的共有,4.441176471
22,私は相手の成功や成長を支援している,A.日常の会話,目的共有,4.974562798
23,私と相手は組織全体の方向性を共有している,A.日常の会話,目的共有,5.112877583
24,私は相手の目指している目標を知っている,A.日常の会話,目的共有,4.821144674
